Hawaii Nonprofit Name,EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
CARE,020675963,HAWAII COMMUNITY CAREGIVER NETWORK,% JUDITH BELL,O BOX 117,KAILUA KONA,HI,96745-0000,0.0,3.0,3.0,1000.0,200405.0,1.0,15.0,0.0,1.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,S20,
CARERESOURCE HAWAII,990250062,CARERESOURCE HAWAII,% THANH HONG TRAN,680 IWILEI RD STE 490,HONOLULU,HI,96817-5389,0.0,3.0,3.0,1000.0,199207.0,1.0,15.0,995000000.0,1.0,1.0,202406.0,7.0,8.0,1.0,0.0,6.0,5614843.0,12219436.0,12219436.0,,
CARING FOR HAWAII NEONATES,813745026,CARING FOR HAWAII NEONATES,% LEILANI KAHOANO,845 22ND AVENUE BUILDING 6,HONOLULU,HI,96816-4521,0.0,3.0,3.0,1000.0,201609.0,1.0,15.0,0.0,1.0,1.0,202312.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,E60,
CAROLINE SHIPMAN FOUNDATION,990231196,CAROLINE SHIPMAN FOUNDATION,% THOMAS ENGLISH,16-127 LAPAAU RD,KEAAU,HI,96749-8166,0.0,3.0,3.0,1000.0,198501.0,1.0,4.0,602000000.0,1.0,1.0,202412.0,4.0,3.0,0.0,1.0,12.0,261053.0,43723.0,,,
CARPET LINOLEUM AND SOFT TILE LOCAL UNION 1926 HEALTH & WELFARE TRUST,237116870,CARPET LINOLEUM AND SOFT TILE LOCAL UNION 1926 HEALTH & WELFARE TRUST,% GROUP PLAN ADMINISTRATORS INC,560 N NIMITZ HWY STE 209,HONOLULU,HI,96817-5328,0.0,9.0,3.0,1000.0,197110.0,2.0,0.0,0.0,2.0,1.0,202402.0,7.0,6.0,1.0,0.0,2.0,6148033.0,3121280.0,3121280.0,,
CASTIGLIONE A CASAURIA FOUNDATION,943275970,CASTIGLIONE A CASAURIA FOUNDATION,% JOSEPH PASQUALE NICOLAI,600 PUULOA RD,HONOLULU,HI,96819-2003,0.0,3.0,3.0,1000.0,199902.0,1.0,4.0,0.0,2.0,1.0,202412.0,6.0,4.0,0.0,1.0,12.0,2695598.0,344035.0,,C12,
CHARLES C PITTAM TRUST,996002377,CHARLES C PITTAM TRUST,% HAWAIIAN TRUST CO LTD-TTEE,PO BOX 3170,HONOLULU,HI,96802-3170,0.0,92.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,12.0,202412.0,6.0,4.0,0.0,1.0,12.0,1418236.0,484477.0,,,
CHARLES R BISHOP TRUST,996005262,CHARLES R BISHOP TRUST,,PO BOX 3466,HONOLULU,HI,96801-3466,0.0,3.0,3.0,1000.0,197305.0,0.0,17.0,909000000.0,1.0,1.0,202406.0,8.0,6.0,1.0,0.0,6.0,16074090.0,2900077.0,737188.0,,
CHATS,921261367,CHATS,,1296 KAPIOLANI BLVD,HONOLULU,HI,96814-2896,0.0,3.0,3.0,1000.0,202302.0,1.0,16.0,0.0,1.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,F60,
CHENG HEALTH FOUNDATION INC,260273040,CHENG HEALTH FOUNDATION INC,% TIMOTHY J ROE,PO BOX 240577,HONOLULU,HI,96824-0577,0.0,3.0,3.0,1000.0,200708.0,1.0,15.0,0.0,1.0,1.0,202406.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,Q30,
CHILDREN'S MENTAL HEALTH RESOURCE CENTER INC,NOT FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHILDRENS HOUSE,990340922,CHILDRENS HOUSE,% MARY LOS BANOS,1840 KOMO MAI DR,PEARL CITY,HI,96782-1403,0.0,3.0,3.0,2000.0,200005.0,1.0,16.0,0.0,1.0,1.0,202307.0,6.0,6.0,1.0,0.0,7.0,2728960.0,3470803.0,3470803.0,B24,
CHRISTINE M MARSH CHARITABLE TR 032491,996065390,CHRISTINE M MARSH CHARITABLE TR 032491,% FIRST HAWAIIAN BANK TTEE,PO BOX 3708,HONOLULU,HI,96811-3708,0.0,3.0,3.0,1000.0,201301.0,1.0,4.0,0.0,2.0,1.0,202412.0,6.0,4.0,0.0,1.0,12.0,1077809.0,101548.0,,T22,
CHUN & SANDRA HWANG FOUNDATION,882569742,CHUN & SANDRA HWANG FOUNDATION,,1011 HANOHANO WAY,HONOLULU,HI,96825-3517,0.0,3.0,3.0,1000.0,202302.0,1.0,3.0,0.0,1.0,1.0,202412.0,3.0,3.0,0.0,1.0,12.0,57973.0,30048.0,,G43,
CHUN FOUNDATION IN MEMORY OF SAY CHONG CHUN CHEW HOONG LUM CHUN AND,990312706,CHUN FOUNDATION IN MEMORY OF SAY CHONG CHUN CHEW HOONG LUM CHUN AND,% BANK OF HAWAII,CO KMH LLP 1003 BISHOP ST STE 2400,HONOLULU,HI,96813-0000,0.0,3.0,3.0,1000.0,199410.0,1.0,4.0,602000000.0,1.0,1.0,202312.0,4.0,4.0,0.0,1.0,12.0,417232.0,213264.0,,,
CHUNG KUN AI FOUNDATION,996003289,CHUNG KUN AI FOUNDATION,% STEVEN AI,PO BOX 1559,HONOLULU,HI,96806-1559,0.0,3.0,3.0,7120.0,195808.0,1.0,4.0,59602561.0,2.0,1.0,202412.0,6.0,4.0,0.0,1.0,12.0,2150498.0,468027.0,,,
CL&ST LOCAL UNION 1926 RETIREE HEALTH REIMBURSEMENT FUND,863434005,CL&ST LOCAL UNION 1926 RETIREE HEALTH REIMBURSEMENT FUND,% CARE OF GROUP PLAN ADMINISTRATORS,560 N NIMITZ HWY STE 209,HONOLULU,HI,96817-5328,0.0,9.0,3.0,1000.0,202205.0,2.0,0.0,0.0,2.0,1.0,202312.0,6.0,4.0,1.0,0.0,12.0,1014586.0,491912.0,491912.0,Y43,
CLARENCE T C CHING FOUNDATION,996014634,CLARENCE T C CHING FOUNDATION,,201 MERCHANT ST STE 1840,HONOLULU,HI,96813-2999,0.0,3.0,3.0,1000.0,196805.0,1.0,4.0,602000000.0,2.0,1.0,202312.0,9.0,8.0,0.0,1.0,12.0,123361494.0,14281607.0,,,
CN WODEHOUSE HAWAII CHARITIES TR,900138909,CN WODEHOUSE HAWAII CHARITIES TR,% BANK OF HAWAII,PO BOX 3170,HONOLULU,HI,96802-3170,0.0,3.0,3.0,1000.0,200409.0,1.0,4.0,0.0,1.0,1.0,202406.0,7.0,6.0,0.0,1.0,6.0,5822899.0,1281129.0,,T22,
COALITION FOR DRUG-FREE HAWAII,NOT FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMUNITY CLINIC OF MAUI INC,990303304,COMMUNITY CLINIC OF MAUI INC,,1881 NANI ST,WAILUKU,HI,96793-1811,0.0,3.0,3.0,1000.0,199309.0,1.0,16.0,154000000.0,1.0,1.0,202406.0,8.0,8.0,1.0,0.0,6.0,17445900.0,22208056.0,22208056.0,E30Z,
COMMUNITY EMPOWERMENT RESOURCES,454204164,COMMUNITY EMPOWERMENT RESOURCES,,1110 UNIVERSITY AVE STE 411,HONOLULU,HI,96826-1508,0.0,3.0,3.0,1000.0,201205.0,1.0,15.0,0.0,1.0,1.0,202312.0,6.0,6.0,1.0,0.0,12.0,2106715.0,4777603.0,4777603.0,P20,
COMMUNITY FIRST INC,471389123,COMMUNITY FIRST INC,,PO BOX 7158,HILO,HI,96720-8940,0.0,3.0,3.0,1000.0,201504.0,1.0,15.0,0.0,1.0,1.0,202312.0,4.0,6.0,1.0,0.0,12.0,377952.0,1453595.0,1453595.0,E80,
COMMUNITY HEALTH EDUCATION & EVALUATION PARTNERS INC,990332609,COMMUNITY HEALTH EDUCATION & EVALUATION PARTNERS INC,% ANNIE KIRK,1253 SOUTH BERETANIA ST SUITE 2315,HONOLULU,HI,96814-1822,0.0,3.0,3.0,1000.0,199803.0,1.0,15.0,995149000.0,1.0,1.0,202406.0,4.0,4.0,1.0,0.0,6.0,133739.0,112942.0,112942.0,E21,
COMPASSIONATE FRIENDS HONOLULU CHAPTER,NOT FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,
COOKE FOUNDATION LIMITED,237120804,COOKE FOUNDATION LIMITED,% HAWAII COMMUNITY FOUNDATION,827 FORT STREET MALL,HONOLULU,HI,96813-4317,0.0,3.0,3.0,1000.0,197107.0,1.0,4.0,602000000.0,1.0,1.0,202406.0,8.0,6.0,0.0,1.0,6.0,16225174.0,3136199.0,,,
COOLINGCANCER,464024424,COOLINGCANCER,% ANDREW SANTOS,2928 KAIHIKAPU ST,HONOLULU,HI,96819-2012,0.0,3.0,3.0,1000.0,201412.0,1.0,15.0,0.0,1.0,1.0,202312.0,1.0,4.0,1.0,0.0,12.0,4963.0,171651.0,112242.0,G12,
CRAIGSIDE RETIREMENT RESIDENCE,352272376,CRAIGSIDE RETIREMENT RESIDENCE,% NORMAN CHONG,1434 PUNAHOU ST,HONOLULU,HI,96822-4701,0.0,3.0,3.0,1000.0,200710.0,1.0,16.0,0.0,1.0,1.0,202312.0,9.0,8.0,1.0,0.0,12.0,60945280.0,24754574.0,23996792.0,P75,
D A R E HAWAII,990285294,D A R E HAWAII,% CAROLYN ONAGA,PO BOX 17191,HONOLULU,HI,96817-0191,0.0,3.0,3.0,1000.0,199104.0,1.0,15.0,995537000.0,1.0,1.0,202406.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,F032,
DIVINE WEALTH UNIVERSAL,932626371,DIVINE WEALTH UNIVERSAL,,1110 UNIVERSITY AVE STE 100,HONOLULU,HI,96826-1598,0.0,3.0,3.0,1000.0,202408.0,1.0,15.0,0.0,1.0,1.0,,0.0,0.0,1.0,0.0,12.0,,,,S20,
DYSLEXIA CENTER OF THE PACIFIC INC,571213369,DYSLEXIA CENTER OF THE PACIFIC INC DCP,% MARGARETTE P M PANG,PO BOX 893100,MILILANI,HI,96789-0100,0.0,3.0,3.0,2000.0,200502.0,1.0,15.0,0.0,1.0,1.0,202409.0,1.0,3.0,2.0,0.0,9.0,33.0,48159.0,48159.0,B92,
DAVID LEITH TRUST,996002314,DAVID LEITH TRUST,% BANK OF HAWAII TTEE,PO BOX 3170,HONOLULU,HI,96802-3170,0.0,92.0,3.0,1000.0,194312.0,1.0,0.0,602000000.0,2.0,12.0,202407.0,3.0,2.0,0.0,1.0,7.0,45671.0,12724.0,,,
DENIS & ROBERTA WONG FOUNDATION,990343866,DENIS & ROBERTA WONG FOUNDATION,,4530 WAIKUI ST,HONOLULU,HI,96821-1104,0.0,3.0,3.0,1000.0,199909.0,1.0,4.0,0.0,1.0,1.0,202206.0,4.0,4.0,0.0,1.0,6.0,149345.0,382019.0,,T20,
DIABETES RESEARCH AND EDUCATION CENTER OF THE PACIFIC,863075780,DIABETES RESEARCH AND EDUCATION CENTER OF THE PACIFIC,% ALAN PARSA,1329 LUSITANA ST STE 807,HONOLULU,HI,96813-2435,0.0,3.0,3.0,1280.0,202111.0,1.0,15.0,0.0,1.0,1.0,202312.0,2.0,0.0,2.0,0.0,12.0,10491.0,0.0,0.0,H12,
DIANE FRANCES OHANA FOUNDATION,800908968,DIANE FRANCES OHANA FOUNDATION,,55 S KUKUI ST APT 2415,HONOLULU,HI,96813-2325,0.0,3.0,3.0,1000.0,201312.0,1.0,15.0,0.0,1.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,G30,
DOLORES FURTADO MARTIN FOUNDATION,990348924,DOLORES FURTADO MARTIN FOUNDATION,% WATTERS O MARTIN JR,1088 BISHOP ST STE 1227,HONOLULU,HI,96813-3140,0.0,3.0,3.0,1000.0,200007.0,1.0,4.0,0.0,1.0,1.0,202312.0,6.0,6.0,0.0,1.0,12.0,3221293.0,1371771.0,,T20,
DORA R ISENBERG FUND,996003107,DORA R ISENBERG FUND,% HAWAIIAN TRUST CO LTD,PO BOX 3170,HONOLULU,HI,96802-3170,0.0,3.0,3.0,1000.0,197012.0,1.0,4.0,602000000.0,2.0,1.0,202409.0,5.0,4.0,0.0,1.0,9.0,581682.0,143919.0,,,
DR ALVIN & MONICA SAAKE FOUNDATION,731671840,DR ALVIN & MONICA SAAKE FOUNDATION,% BART M KOZA,PO BOX 240908,HONOLULU,HI,96824-0908,0.0,3.0,3.0,1000.0,200309.0,1.0,4.0,0.0,1.0,1.0,202412.0,6.0,6.0,0.0,1.0,12.0,2301799.0,3155026.0,,T22,KOZA BART
DRAGONS EYE LEARNING CENTER,134275937,DRAGONS EYE LEARNING CENTER,% GEOFFREY KERN,PO BOX 778,PAHOA,HI,96778-0778,0.0,3.0,3.0,1200.0,200407.0,1.0,15.0,0.0,1.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,B90,
DUNN FOUNDATION,680425837,DUNN FOUNDATION,% NANCY EISENMAN,94-1221 KA UKA BLVD 108-330 108-3,WAIPAHU,HI,96797-6202,0.0,3.0,3.0,1000.0,200007.0,1.0,4.0,0.0,1.0,1.0,202412.0,4.0,3.0,0.0,1.0,12.0,417988.0,66874.0,,T23,
DYNAMIC THERAPY PARTNERS INC,991791302,DYNAMIC THERAPY PARTNERS INC,,2717 MILO HAE LOOP,KOLOA,HI,96756-9513,0.0,3.0,3.0,2000.0,202404.0,1.0,16.0,0.0,1.0,1.0,,0.0,0.0,2.0,0.0,3.0,,,,G98,
E HO OLA RANCH,843063736,E HO OLA RANCH,,PO BOX 330343,KAHULUI,HI,96733-0343,0.0,3.0,3.0,1270.0,202009.0,1.0,15.0,0.0,1.0,1.0,202412.0,1.0,0.0,2.0,0.0,12.0,1.0,0.0,0.0,E50,
EQUINE THERAPY INC,260519456,EQUINE THERAPY INC,% KARIN STOLL,3146 AKAHI ST,LIHUE,HI,96766-1105,0.0,3.0,3.0,1200.0,200801.0,1.0,15.0,0.0,1.0,1.0,202312.0,3.0,4.0,1.0,0.0,12.0,73490.0,189354.0,187146.0,E50,
EVAN M NAKASHIGE FOUNDATION,821330501,EVAN M NAKASHIGE FOUNDATION,% JOCELYN L NAKASHIGE,98 820 MOANALUA RD I 5 545,AIEA,HI,96701-0000,0.0,3.0,3.0,1000.0,201711.0,1.0,15.0,0.0,1.0,1.0,202412.0,4.0,4.0,1.0,0.0,12.0,331926.0,103776.0,103776.0,T30,
EAST HAWAII HEALTH PHARMACY,874104333,EAST HAWAII HEALTH PHARMACY,,1190 WAIANUENUE AVE,HILO,HI,96720-2020,0.0,3.0,3.0,1000.0,202206.0,1.0,21.0,0.0,1.0,1.0,202406.0,5.0,6.0,1.0,0.0,6.0,509843.0,1814288.0,1814288.0,E70,
EAST HAWAII REGION FOUNDATION,991816298,EAST HAWAII REGION FOUNDATION,% DAN BRINKMAN,1190 WAIANUENUE AVE,HILO,HI,96720-2020,0.0,3.0,3.0,1000.0,202403.0,1.0,22.0,0.0,1.0,1.0,,0.0,0.0,1.0,0.0,12.0,,,,E11,
EAST HAWAII STATE VETERANS HOME,853650364,EAST HAWAII STATE VETERANS HOME,,1180 WAIANUENUE AVE,HILO,HI,96720-2020,0.0,3.0,3.0,1000.0,202105.0,1.0,21.0,0.0,1.0,1.0,202406.0,7.0,8.0,1.0,0.0,6.0,7423405.0,13877914.0,13857308.0,P70,
EAST KAUAI DRUG PREVENTION EDUCATION TEAM,900592046,EAST KAUAI DRUG PREVENTION EDUCATION TEAM,% RAYMOND HO,PO BOX 681,KAPAA,HI,96746-0681,0.0,3.0,3.0,1000.0,201008.0,1.0,15.0,0.0,5.0,1.0,202306.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,F21,
EASTERSEALS HAWAII,NOT FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDWIN S N WONG FOUNDATION,943268508,EDWIN S N WONG FOUNDATION,% EDWIN S N WONG,2101 NUUANU AVE PH B1,HONOLULU,HI,96817-1770,0.0,3.0,3.0,1000.0,199705.0,1.0,4.0,602000000.0,1.0,1.0,202412.0,2.0,4.0,0.0,1.0,12.0,10515.0,313871.0,,T20Z,
ELEPAIO SOCIAL SERVICES,871098803,ELEPAIO SOCIAL SERVICES,% JAMES CHEN,86-120 FARRINGTON HIGHWAY,WAIANAE,HI,96792-3000,0.0,3.0,3.0,1000.0,202202.0,1.0,15.0,0.0,1.0,1.0,202406.0,5.0,6.0,1.0,0.0,6.0,975119.0,1742544.0,1742544.0,P50,
ELIZABETH L HOOKANO STARTING OVER IN RECOVERY INC,454545805,ELIZABETH L HOOKANO STARTING OVER IN RECOVERY INC,,91-821 LAPINE PL,EWA BEACH,HI,96706-2917,0.0,3.0,3.0,1000.0,201208.0,1.0,15.0,0.0,1.0,1.0,202312.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,F22,
ELUMINA MAUI,932197366,ELUMINA MAUI,% GABRIELLA MOLINE,545 KUPULAU DR,KIHEI,HI,96753-9315,0.0,3.0,3.0,1000.0,202310.0,1.0,16.0,0.0,1.0,1.0,,0.0,0.0,1.0,0.0,12.0,,,,F30,
EMERGENCY NURSES ASSOCITATION,990235852,EMERGENCY NURSES ASSOCITATION,% TINA DONAYRI,1226 ALEXANDER ST APT 408,HONOLULU,HI,96826-1225,3993.0,3.0,9.0,1000.0,200009.0,1.0,16.0,205000000.0,1.0,1.0,202112.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,,HAWAII STATE COUNCIL
EPILEPSY FOUNDATION OF HAWAII,237216782,EPILEPSY FOUNDATION OF HAWAII,% LDA BUSINESS SERVICE,200 N VINEYARD BLVD SUITE B259,HONOLULU,HI,96817-3950,0.0,3.0,3.0,2000.0,197301.0,1.0,16.0,59000000.0,1.0,1.0,202406.0,4.0,3.0,1.0,0.0,6.0,140525.0,88239.0,88239.0,G030,
EQUITABLE SOLUTIONS FOR THE INDIGENOUS,332505346,EQUITABLE SOLUTIONS FOR THE INDIGENOUS,% RUTH FAIOSO LEAU,909 UNIVERSITY AVE,HONOLULU,HI,96826-3262,0.0,3.0,3.0,1200.0,202501.0,1.0,15.0,0.0,1.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,E70,
ESKIMO VILLAGE INC,932372029,ESKIMO VILLAGE INC,,311 DOOR OF FAITH RD,HAIKU,HI,96708-5705,0.0,3.0,3.0,1000.0,202404.0,1.0,15.0,0.0,1.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,F99,
EVERY DAY A GIFT,611781487,EVERY DAY A GIFT,,85-5185 KIILAE RD,CAPTAIN COOK,HI,96704-8505,0.0,3.0,3.0,1000.0,201608.0,1.0,15.0,0.0,1.0,1.0,202212.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,E86,ANN L SALISBURY
EVERY KID SWIMS,NOT FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXQUISITE HEALTH AND WELLNESS PROJECT,883409198,EXQUISITE HEALTH AND WELLNESS PROJECT,,73-4338 KOI KOI ST,KAILUA KONA,HI,96740-9535,0.0,3.0,3.0,2000.0,202208.0,1.0,15.0,0.0,1.0,1.0,,0.0,0.0,2.0,0.0,12.0,,,,E60,
EYEWEAR EVERYWHERE,843648889,EYEWEAR EVERYWHERE,% LOC TRUONG,PO BOX 330321,KAHULUI,HI,96733-0321,0.0,3.0,3.0,1000.0,202001.0,1.0,4.0,0.0,1.0,1.0,202412.0,1.0,1.0,0.0,1.0,12.0,4688.0,1.0,,G41,
FOOD INGREDIENT AND HEALTH RESEARCH INSTITUTE,273816443,FOOD INGREDIENT AND HEALTH RESEARCH INSTITUTE,% RENEE DUFAULT,PO BOX 1055,NAALEHU,HI,96772-1055,0.0,3.0,3.0,1000.0,201109.0,1.0,15.0,0.0,1.0,1.0,202409.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,K99,
FEED HAWAII,113704749,FEED HAWAII,% MARGARET PARISH,PO BOX 531,HAWI,HI,96719-0531,0.0,3.0,3.0,1000.0,200508.0,1.0,15.0,0.0,1.0,1.0,202312.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,K99,
FIGHTSTORY INC,923211645,FIGHTSTORY INC,,95-090 LAUAKI PL,MILILANI,HI,96789-2911,0.0,3.0,3.0,1000.0,202304.0,1.0,16.0,0.0,1.0,1.0,202401.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,F80,
FILIPINO NURSES ORGANIZATION OF HAWAII FOUNDATION,332766681,FILIPINO NURSES ORGANIZATION OF HAWAII FOUNDATION,,PO BOX 29082,HONOLULU,HI,96820-1482,0.0,3.0,3.0,1200.0,202501.0,1.0,16.0,0.0,1.0,1.0,,0.0,0.0,2.0,0.0,12.0,,,,G03,FNOH FOUNDATION
FIRST HAWAIIAN FOUNDATION,237437822,FIRST HAWAIIAN FOUNDATION,% FIRST HAWAIIAN BANK,999 BISHOP STREET,HONOLULU,HI,96813-4423,0.0,3.0,3.0,1000.0,197801.0,1.0,4.0,382380400.0,1.0,1.0,202312.0,6.0,6.0,0.0,1.0,12.0,4233525.0,4017511.0,,,
FIRSTVITALS COMMUNITY HEALTH FOUNDATION,850971140,FIRSTVITALS COMMUNITY HEALTH FOUNDATION,% ERNEST LEE,1288 ALA MOANA BLVD APT 27E,HONOLULU,HI,96814-4295,0.0,3.0,3.0,2380.0,202206.0,1.0,15.0,0.0,1.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,E60,
FIVE MOUNTAINS HAWAII INC,990330168,FIVE MOUNTAINS HAWAII INC,% CLARENCE KEALOHA-BEAUTET,64-1035 MAMALALOHA HWY SUITE F,KAMUELA,HI,96743-0000,0.0,3.0,3.0,1200.0,200104.0,1.0,15.0,994165000.0,1.0,1.0,202312.0,6.0,6.0,1.0,0.0,12.0,1933590.0,2645421.0,2637675.0,E70,
FLOAT RESEARCH COLLECTIVE,873445071,FLOAT RESEARCH COLLECTIVE,% JUSTIN FEINSTEIN,1254 S KIHEI RD UNIT 1423,KIHEI,HI,96753-4058,0.0,3.0,3.0,8000.0,202205.0,1.0,15.0,0.0,1.0,1.0,202312.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,H12,
FONTEL FOUNDATION,943348242,FONTEL FOUNDATION,% JEROME BERLINGER,PO BOX 796,HONOLULU,HI,96808-0796,0.0,3.0,3.0,1000.0,200012.0,1.0,4.0,0.0,1.0,1.0,202407.0,4.0,3.0,0.0,1.0,7.0,369541.0,28315.0,,T20,19X 74C11
FOR CHILDREN TO FLOURISH,872472246,FOR CHILDREN TO FLOURISH,,68-3897 HOLOIMUA PL,WAIKOLOA,HI,96738-5257,0.0,3.0,3.0,1000.0,202204.0,1.0,15.0,0.0,1.0,1.0,202412.0,2.0,3.0,1.0,0.0,12.0,15056.0,62489.0,62489.0,P99,
FOR ME LUCK,852607924,FOR ME LUCK,% SHAKTI SHANTI HEE,PO BOX 383945,WAIKOLOA,HI,96738-3945,0.0,3.0,3.0,1278.0,202011.0,1.0,16.0,0.0,1.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,E70,
FOUNDATION MATTERS,NOT FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOUNDATION FOR THE HEALING ARTS,943048741,FOUNDATION FOR THE HEALING ARTS,% TANYAH O COTTON,2459 KINOOLE ST,HILO,HI,96720-5644,0.0,3.0,3.0,7000.0,198807.0,1.0,16.0,995000000.0,1.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,,
FRANCISCAN CARE SERVICES,274348363,FRANCISCAN CARE SERVICES,% KEVIN NISHIDA,PO BOX 29700,HONOLULU,HI,96820-2100,928.0,3.0,9.0,1200.0,194603.0,1.0,10.0,31150120.0,5.0,1.0,202406.0,6.0,6.0,1.0,0.0,6.0,4525657.0,1716935.0,1711192.0,,
FRANK F & KATHARINE L WOODFORD MEMORIAL TRUST,996009741,FRANK F & KATHARINE L WOODFORD MEMORIAL TRUST,,PO BOX 3170,HONOLULU,HI,96802-3170,0.0,3.0,3.0,1000.0,196609.0,1.0,4.0,602000000.0,2.0,1.0,202403.0,4.0,4.0,0.0,1.0,3.0,299285.0,169394.0,,,
FRED BALDWIN MEMORIAL FOUNDATION,990075264,FRED BALDWIN MEMORIAL FOUNDATION,% HAWAII COMMUNITY FOUNDATION,CO HCF 827 FORT STREET,HONOLULU,HI,96813-0000,0.0,3.0,3.0,1000.0,194310.0,1.0,4.0,59602000.0,1.0,1.0,202412.0,7.0,6.0,0.0,1.0,12.0,5309078.0,2535306.0,,,
FRIENDS FOR FITNESS,943266745,FRIENDS FOR FITNESS,% BETTY DEROY,PO BOX 3668,KAILUA KONA,HI,96745-3668,0.0,3.0,3.0,2000.0,199804.0,1.0,15.0,994125000.0,1.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,N50,
FRIENDS OF BIG ISLAND DRUG COURT INC,NOT FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF CHALLENGER CENTER HAWAII INC,452488652,FRIENDS OF CHALLENGER CENTER HAWAII INC,% CLINTON R CHURCHILL,1001 KAMOKILA BOULEVARD 250,KAPOLEI,HI,96707-2014,0.0,3.0,3.0,1000.0,201107.0,1.0,15.0,0.0,1.0,1.0,202312.0,3.0,2.0,2.0,0.0,12.0,56164.0,10018.0,10018.0,B11,
FRIENDS OF DIAMOND HEAD CLUBHOUSE,352294301,FRIENDS OF DIAMOND HEAD CLUBHOUSE,% VICTOR SANTIAGO,3627 KILAUEA AVE STE 410,HONOLULU,HI,96816-2317,0.0,3.0,3.0,1200.0,200802.0,1.0,15.0,0.0,1.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,F30,
FRIENDS OF FIRST RESPONDERS,884051692,FRIENDS OF FIRST RESPONDERS,% RENEE GODOY,1321 KINOOLE ST,HILO,HI,96720-4129,0.0,3.0,3.0,1000.0,202301.0,1.0,15.0,0.0,1.0,1.0,202412.0,3.0,4.0,1.0,0.0,12.0,93373.0,222342.0,222342.0,M60,
FRIENDS OF HALE O HONOLULU CLUBHOUSE,990342432,FRIENDS OF HALE O HONOLULU CLUBHOUSE,% NO,1700 LANAKILA AVE,HONOLULU,HI,96817-2115,0.0,3.0,3.0,1000.0,200003.0,1.0,15.0,0.0,1.0,1.0,202407.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,F80,
FRIENDS OF HALE OLUEA CLUBHOUSE,990281246,FRIENDS OF HALE OLUEA CLUBHOUSE,,1045 KILAUEA AVE STE B,HILO,HI,96720-4291,0.0,3.0,3.0,1200.0,201408.0,1.0,16.0,320000000.0,1.0,1.0,202406.0,2.0,3.0,2.0,0.0,6.0,23012.0,26987.0,-8840.0,P80,
FRIENDS OF HAWAII HOME PROJECT,882346103,FRIENDS OF HAWAII HOME PROJECT,,PO BOX 29152,HONOLULU,HI,96820-1552,0.0,3.0,3.0,1000.0,202208.0,1.0,16.0,0.0,1.0,1.0,202312.0,3.0,4.0,1.0,0.0,12.0,88493.0,156184.0,142390.0,E11,
FRIENDS OF IMI HO OLA,920170484,FRIENDS OF IMI HO OLA,% DEE-ANN CARPENTER,3054 ALA POHA PL APT 402,HONOLULU,HI,96818-1637,0.0,3.0,3.0,2000.0,200006.0,1.0,15.0,0.0,1.0,1.0,202312.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,E99,
