Health Center Type,Health Center Number,BHCMIS Organization Identification Number,BPHC Assigned Number,Site Name,Site Address,Site City,Site State Abbreviation,Site Postal Code,Site Telephone Number,Site Web Address,Operating Hours per Week,Health Center Location Setting Identification Number,Health Center Service Delivery Site Location Setting Description,Health Center Status Identification Number,Site Status Description,FQHC Site Medicare Billing Number,FQHC Site NPI Number,Health Center Location Identification Number,Health Center Location Type Description,Health Center Type Identification Number,Health Center Type Description,Health Center Operator Identification Number,Health Center Operator Description,Health Center Operating Schedule Identification Number,Health Center Operational Schedule Description,Health Center Operating Calendar Surrogate Key,Health Center Operating Calendar,Site Added to Scope this Date,Health Center Name,Health Center Organization Street Address,Health Center Organization City,Health Center Organization State,Health Center Organization ZIP Code,Grantee Organization Type Description,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate,U.S. - Mexico Border 100 Kilometer Indicator,U.S. - Mexico Border County Indicator,State and County Federal Information Processing Standard Code,Complete County Name,County Equivalent Name,County Description,HHS Region Code,HHS Region Name,State FIPS Code,State Name,State FIPS and Congressional District Number Code,Congressional District Number,Congressional District Name,Congressional District Code,U.S. Congressional Representative Name,Name of U.S. Senator Number One,Name of U.S. Senator Number Two,Data Warehouse Record Create Date,Unnamed: 55
Federally Qualified Health Center (FQHC),H80CS00722,096040,BPS-H80-038203,Kihei Elementary School,250 E Lipoa St # D102,Kihei,HI,96753-8125,808-875-6818,,40.5,2,School,1,Active,121014,1811687262.0,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,02/02/2024,"COMMUNITY CLINIC OF MAUI, INC.",1881 Nani St,Wailuku,HI,96793-1811,"Corporate Entity, Federal Tax Exempt",-156.44796049,20.74843726,N,N,15009,Maui County,Maui,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00451,092160,BPS-H80-005036,KOHALA FAMILY HEALTH CENTER,53-3925 Akoni Pule Hwy,Kapaau,HI,96755,808-889-6236,www.hamakua-health.org,60.0,7,All Other Clinic Types,1,Active,121830,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,08/10/2006,"HAMAKUA HEALTH CENTER, INC",45-549 Plumeria St,Honokaa,HI,96727-6902,"Corporate Entity, Federal Tax Exempt",-155.79690463,20.23035061,N,N,15001,Hawaii County,Hawaii,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00053,092060,BPS-H80-032785,Keauhou Shelter,1020 Isenberg St,Honolulu,HI,96826-2919,808-537-8330,https://waikikihc.org/,,7,All Other Clinic Types,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,07/22/2021,WAIKIKI HEALTH,277 Ohua Ave,Honolulu,HI,96815-6612,"Corporate Entity, Federal Tax Exempt",-157.82531103,21.29378203,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1501,1,Hawaii District 01,HI-01,Ed Case,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS06640,0924640,BPS-H80-036100,Pahoa Family Health Center,15-2866 Pahoa Village Rd,Pahoa,HI,96778-7720,808-333-3600,,50.0,7,All Other Clinic Types,1,Active,121805,1265482624.0,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,07/01/2022,WEST HAWAII COMMUNITY HEALTH CENTER INC,75-5751 Kuakini Hwy,Kailua Kona,HI,96740-1735,"Corporate Entity, Federal Tax Exempt",-154.94890967,19.49510251,N,N,15001,Hawaii County,Hawaii,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00852,091290,BPS-H80-000236,HO'OLA LAHUI-HAWAII,"4491 Rice St, Ste 106",Lihue,HI,96766-1805,808-240-0100,www.hoolalahui.org,40.0,7,All Other Clinic Types,1,Active,,,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,01/10/1996,HO-OLA LAHUI HAWAII INC,"4491 Rice St, Ste 106",Lihue,HI,96766-1805,"Corporate Entity, Federal Tax Exempt",-159.3700372,21.97529052,N,N,15007,Kauai County,Kauai,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS06640,0924640,BPS-H80-000344,WHCHC -- Administration,75-5751 Kuakini Hwy,Kailua Kona,HI,96740-1735,808-326-5629,www.westhawaiichc.org,40.0,7,All Other Clinic Types,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,1,Full-Time,1,Year-Round,03/01/2007,WEST HAWAII COMMUNITY HEALTH CENTER INC,75-5751 Kuakini Hwy,Kailua Kona,HI,96740-1735,"Corporate Entity, Federal Tax Exempt",-155.99050931,19.63862092,N,N,15001,Hawaii County,Hawaii,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00646,092290,BPS-H80-000438,WAIMANALO HEALTH CENTER,41-1347 Kalanianaole Hwy,Waimanalo,HI,96795-1247,808-259-7948,www.waimanalohealth.org,49.0,7,All Other Clinic Types,1,Active,121806,1780738005.0,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,01/02/1992,WAIMANALO HEALTH CENTER,41-1347 Kalanianaole Hwy,Waimanalo,HI,96795-1247,"Corporate Entity, Federal Tax Exempt",-157.71618896,21.34713439,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS06640,0924640,BPS-H80-036103,Administration Office,450 Kilauea Ave STE 105,Hilo,HI,96720-3089,808-961-4071,,50.0,7,All Other Clinic Types,1,Active,,1053955120.0,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,07/01/2022,WEST HAWAII COMMUNITY HEALTH CENTER INC,75-5751 Kuakini Hwy,Kailua Kona,HI,96740-1735,"Corporate Entity, Federal Tax Exempt",-155.08204287,19.71944373,N,N,15001,Hawaii County,Hawaii,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS06640,0924640,BPS-H80-010361,WHCHC -- WIC Dental,81-980 Halekii St,Kealakekua,HI,96750-8177,808-322-4888,,2.0,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,02/13/2011,WEST HAWAII COMMUNITY HEALTH CENTER INC,75-5751 Kuakini Hwy,Kailua Kona,HI,96740-1735,"Corporate Entity, Federal Tax Exempt",-155.92168343,19.51853957,N,N,15001,Hawaii County,Hawaii,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00807,090990,BPS-H80-015763,Waianae High School School-based Health Center,85-251 Farrington Hwy,Waianae,HI,96792-2113,808-697-3457,wcchc@wcchc.com,40.0,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,08/11/2015,"WAIANAE DISTRICT COMPREHENSIVE HEALTH AND HOSPITAL BOARD, INCORPORATED",86-260 Farrington Hwy,Waianae,HI,96792-3128,"Corporate Entity, Federal Tax Exempt",-158.19986736,21.45619452,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00722,096040,BPS-H80-038692,Kahana Satellite,"10 Hoohui Rd, Ste 305",Lahaina,HI,96761-9259,808-872-0000,,35.0,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,05/24/2024,"COMMUNITY CLINIC OF MAUI, INC.",1881 Nani St,Wailuku,HI,96793-1811,"Corporate Entity, Federal Tax Exempt",-156.67774953,20.97155053,N,N,15009,Maui County,Maui,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00814,096010,BPS-H80-001195,ADMINISTRATION,938 Austin Ln,Honolulu,HI,96817-5765,808-845-8578,www.kphc.org,,0,Unknown,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,1,Full-Time,1,Year-Round,01/01/2001,KALIHI PALAMA HEALTH CENTER,915 N King St,Honolulu,HI,96817-4544,"Corporate Entity, Federal Tax Exempt",-157.86802002,21.32214014,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1501,1,Hawaii District 01,HI-01,Ed Case,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00852,091290,BPS-H80-021236,HLH Administration,2975 Haleko Rd STE 310,Lihue,HI,96766-1366,808-240-0113,,,7,All Other Clinic Types,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,10/05/2017,HO-OLA LAHUI HAWAII INC,"4491 Rice St, Ste 106",Lihue,HI,96766-1805,"Corporate Entity, Federal Tax Exempt",-159.37008825,21.97462097,N,N,15007,Kauai County,Kauai,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00451,092160,BPS-H80-022075,HHC Honokaa Administration Site NHERC,45-539 Plumeria St,Honokaa,HI,96727-6940,808-930-7204,,,0,Unknown,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,05/08/2018,"HAMAKUA HEALTH CENTER, INC",45-549 Plumeria St,Honokaa,HI,96727-6902,"Corporate Entity, Federal Tax Exempt",-155.47023345,20.07702712,N,N,15001,Hawaii County,Hawaii,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS06641,0925370,BPS-H80-017709,Mobile Medical & Dental Unit,56-119 Pualalea St,Kahuku,HI,96731-2052,808-293-9231,www.koolauloachc.org,30.0,7,All Other Clinic Types,1,Active,,,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,03/18/2016,KO'OLAULOA HEALTH CENTER,56-119 Pualalea St,Kahuku,HI,96731-2052,"Corporate Entity, Federal Tax Exempt",-157.95224985,21.67646804,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00814,096010,BPS-H80-035669,KPHC Punawai Clinic,431 Kuwili St FL 2,Honolulu,HI,96817-5051,808-791-6315,,70.0,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,09/23/2022,KALIHI PALAMA HEALTH CENTER,915 N King St,Honolulu,HI,96817-4544,"Corporate Entity, Federal Tax Exempt",-157.86711863,21.31663223,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1501,1,Hawaii District 01,HI-01,Ed Case,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00807,090990,BPS-H80-021708,Ewa - West O`ahu Community Health Center,91-1841 Fort Weaver Rd,Ewa Beach,HI,96706-1909,808-697-3300,,40.0,7,All Other Clinic Types,1,Active,,1366942831.0,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,01/30/2018,"WAIANAE DISTRICT COMPREHENSIVE HEALTH AND HOSPITAL BOARD, INCORPORATED",86-260 Farrington Hwy,Waianae,HI,96792-3128,"Corporate Entity, Federal Tax Exempt",-158.02875307,21.35438453,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1501,1,Hawaii District 01,HI-01,Ed Case,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00807,090990,BPS-H80-031716,The Comp at Tamura Super Market,86-032 Farrington Hwy STE 101,Waianae,HI,96792-3099,808-697-3438,,46.0,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,11/30/2020,"WAIANAE DISTRICT COMPREHENSIVE HEALTH AND HOSPITAL BOARD, INCORPORATED",86-260 Farrington Hwy,Waianae,HI,96792-3128,"Corporate Entity, Federal Tax Exempt",-158.18615582,21.439811,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC) Look-Alike,LALCS31600,09E01287,BPS-LAL-021546,Wahiawa Health,302 California Ave STE 106,Wahiawa,HI,96786-1841,808-622-1618,www.wahiawahealth.org,60.0,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,01/01/2018,THE WAHIAWA CENTER FOR COMMUNITY HEALTH,302 CALIFORNIA AVE STE 106A,WAHIAWA,HI,96786,,-158.03120394,21.49541835,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00852,091290,BPS-H80-039334,HLH Mobile West,8044 Iwipolena Rd,Kekaha,HI,96752,808-240-0100,,40.0,7,All Other Clinic Types,1,Active,12818,,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,10/14/2024,HO-OLA LAHUI HAWAII INC,"4491 Rice St, Ste 106",Lihue,HI,96766-1805,"Corporate Entity, Federal Tax Exempt",-159.71812264,21.97239088,N,N,15007,Kauai County,Kauai,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00646,092290,BPS-H80-036224,Waimanalo Health Center Hale Ola `Akolu-Luluku,45-600 Kamehameha Hwy,Kaneohe,HI,96744-2065,808-235-8442,,44.0,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,01/23/2023,WAIMANALO HEALTH CENTER,41-1347 Kalanianaole Hwy,Waimanalo,HI,96795-1247,"Corporate Entity, Federal Tax Exempt",-157.79957859,21.40088481,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS06641,0925370,BPS-H80-006843,Hau`ula,54-316 Kamehameha Hwy,Hauula,HI,96717-9539,808-293-9216,,42.0,7,All Other Clinic Types,1,Active,121842,1063833655.0,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,01/08/2006,KO'OLAULOA HEALTH CENTER,56-119 Pualalea St,Kahuku,HI,96731-2052,"Corporate Entity, Federal Tax Exempt",-157.91563182,21.62019811,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS02449,0912120,BPS-H80-029655,"Molokai Community Health Center, Building #9, WIC department",30 Oki Pl,Kaunakakai,HI,96748,808-553-5038,,17.0,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,09/27/2019,MOLOKAI OHANA HEALTH CARE INC,30 Oki Pl,Kaunakakai,HI,96748,"Corporate Entity, Federal Tax Exempt",-157.01841045,21.08636484,N,N,15009,Maui County,Maui,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00451,092160,BPS-H80-032291,Mauna Kea Waimea 1st floor,65-1190 Mamalahoa Hwy,Kamuela,HI,96743-8431,808-930-2746,,40.0,7,All Other Clinic Types,1,Active,,,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,04/13/2021,"HAMAKUA HEALTH CENTER, INC",45-549 Plumeria St,Honokaa,HI,96727-6902,"Corporate Entity, Federal Tax Exempt",-155.66843068,20.02078949,N,N,15001,Hawaii County,Hawaii,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00451,092160,BPS-H80-038188,"Hamakua-Kohala Health, Bank of Hawaii building",45-3568 Mamane St,Honokaa,HI,96727-6973,808-775-7204,,40.0,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,02/02/2024,"HAMAKUA HEALTH CENTER, INC",45-549 Plumeria St,Honokaa,HI,96727-6902,"Corporate Entity, Federal Tax Exempt",-155.46754898,20.07900387,N,N,15001,Hawaii County,Hawaii,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00290,098550,BPS-H80-004110,HANA COMMUNITY HEALTH CENTER,4590 Hana Hwy,Hana,HI,96713,808-248-8294,www.hanahealth.org,58.0,7,All Other Clinic Types,1,Active,121822,,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,01/07/1997,HANA HEALTH,4590 Hana Hwy,Hana,HI,96713,"Corporate Entity, Federal Tax Exempt",-155.99426367,20.76395149,N,N,15009,Maui County,Maui,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00053,092060,BPS-H80-032957,Waikiki Health Mobile Medical Unit #2,1414 Kalakaua Ave,Honolulu,HI,96826-1910,808-922-4787,https://waikikihc.org/,1.0,7,All Other Clinic Types,1,Active,CD758A,1952066474.0,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,08/25/2021,WAIKIKI HEALTH,277 Ohua Ave,Honolulu,HI,96815-6612,"Corporate Entity, Federal Tax Exempt",-157.83679947,21.29806794,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1501,1,Hawaii District 01,HI-01,Ed Case,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00814,096010,BPS-H80-004457,KAAAHI CLINIC,546 Kaaahi St,Honolulu,HI,96817-4630,808-853-1700,www.kphc.org,40.0,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,01/01/2001,KALIHI PALAMA HEALTH CENTER,915 N King St,Honolulu,HI,96817-4544,"Corporate Entity, Federal Tax Exempt",-157.86623006,21.31785418,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1501,1,Hawaii District 01,HI-01,Ed Case,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS06640,0924640,BPS-H80-011934,WHCHC - Waikoloa Family Medical,"68-1845 Waikoloa Rd, Ste 207",Waikoloa,HI,96738-5581,808-769-5160,,42.5,7,All Other Clinic Types,1,Active,121848,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,07/25/2012,WEST HAWAII COMMUNITY HEALTH CENTER INC,75-5751 Kuakini Hwy,Kailua Kona,HI,96740-1735,"Corporate Entity, Federal Tax Exempt",-155.78762838,19.92687894,N,N,15001,Hawaii County,Hawaii,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00053,092060,BPS-H80-032958,Waikiki Health - Jarrett Middle School,1903 Palolo Ave,Honolulu,HI,96816-2928,808-922-4787,https://waikikihc.org/,14.0,2,School,1,Active,,1134898042.0,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,08/25/2021,WAIKIKI HEALTH,277 Ohua Ave,Honolulu,HI,96815-6612,"Corporate Entity, Federal Tax Exempt",-157.79800464,21.2978395,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1501,1,Hawaii District 01,HI-01,Ed Case,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00451,092160,BPS-H80-004556,HAMAKUA HEALTH CENTER,45-549 Plumeria St,Honokaa,HI,96727-6902,808-775-7204,www.hamakua-health.org,60.0,7,All Other Clinic Types,1,Active,121813,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,05/01/2001,"HAMAKUA HEALTH CENTER, INC",45-549 Plumeria St,Honokaa,HI,96727-6902,"Corporate Entity, Federal Tax Exempt",-155.47154166,20.07569048,N,N,15001,Hawaii County,Hawaii,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS02449,0912120,BPS-H80-029653,"Molokai Community Health Center, Building #1, suite 102, Dental Department",30 Oki Pl,Kaunakakai,HI,96748,808-553-5038,,40.0,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,09/27/2019,MOLOKAI OHANA HEALTH CARE INC,30 Oki Pl,Kaunakakai,HI,96748,"Corporate Entity, Federal Tax Exempt",-157.01841045,21.08636484,N,N,15009,Maui County,Maui,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00053,092060,BPS-H80-007202,Waikiki Health Mobile Medical Unit  1,1414 Kalakaua Ave,Honolulu,HI,96826-1910,808-922-4787,www.waikikihc.org,28.0,7,All Other Clinic Types,1,Active,,1043975568.0,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,01/09/1988,WAIKIKI HEALTH,277 Ohua Ave,Honolulu,HI,96815-6612,"Corporate Entity, Federal Tax Exempt",-157.83679947,21.29806794,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1501,1,Hawaii District 01,HI-01,Ed Case,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS06640,0924640,BPS-H80-036343,Hilo Pediatrics,450 Kilauea Ave STE 103,Hilo,HI,96720-3089,808-333-3600,,40.0,7,All Other Clinic Types,1,Active,121872,1487256491.0,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,07/01/2022,WEST HAWAII COMMUNITY HEALTH CENTER INC,75-5751 Kuakini Hwy,Kailua Kona,HI,96740-1735,"Corporate Entity, Federal Tax Exempt",-155.08204287,19.71944373,N,N,15001,Hawaii County,Hawaii,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00807,090990,BPS-H80-039335,Mobile Clinic #2,86-260 Farrington Hwy,Waianae,HI,96792-3128,808-697-3457,,8.0,2,School,1,Active,,,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,10/14/2024,"WAIANAE DISTRICT COMPREHENSIVE HEALTH AND HOSPITAL BOARD, INCORPORATED",86-260 Farrington Hwy,Waianae,HI,96792-3128,"Corporate Entity, Federal Tax Exempt",-158.180635,21.42935638,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00646,092290,BPS-H80-027251,Waimanalo Health Center - Hale Ola `Alua,41-1295 Kalanianaole Hwy,Waimanalo,HI,96795-1536,808-259-7948,,56.0,7,All Other Clinic Types,1,Active,121868,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,12/21/2018,WAIMANALO HEALTH CENTER,41-1347 Kalanianaole Hwy,Waimanalo,HI,96795-1247,"Corporate Entity, Federal Tax Exempt",-157.71430455,21.34685372,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00852,091290,BPS-H80-004848,HO'OLA LAHUI HAWAI'I,4800 Kawaihau Rd STE D,Kapaa,HI,96746-1964,808-240-0170,www.hoolalahui.org,40.0,1,Hospital,1,Active,121821,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,01/04/2004,HO-OLA LAHUI HAWAII INC,"4491 Rice St, Ste 106",Lihue,HI,96766-1805,"Corporate Entity, Federal Tax Exempt",-159.31291277,22.08351145,N,N,15007,Kauai County,Kauai,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS06640,0924640,BPS-H80-036106,Wailuku Family Health Center,305 Wailuku Dr STE 2A,Hilo,HI,96720-2488,808-933-2982,,40.0,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,07/01/2022,WEST HAWAII COMMUNITY HEALTH CENTER INC,75-5751 Kuakini Hwy,Kailua Kona,HI,96740-1735,"Corporate Entity, Federal Tax Exempt",-155.09115987,19.72557258,N,N,15001,Hawaii County,Hawaii,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
